filepath,label
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.28 AM_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.28 AM_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.28 AM_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.28 AM_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.28 AM_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.06_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.06_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.06_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.06_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.06_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.48 PM_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.48 PM_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.48 PM_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.48 PM_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.48 PM_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.25 AM_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.25 AM_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.25 AM_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.25 AM_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.15.25 AM_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.34.01_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.34.01_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.34.01_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.34.01_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.34.01_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.36.42 PM (3)_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.36.42 PM (3)_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.36.42 PM (3)_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.36.42 PM (3)_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.36.42 PM (3)_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-05 at 23.01.46_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-05 at 23.01.46_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-05 at 23.01.46_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-05 at 23.01.46_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-05 at 23.01.46_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.14.29 AM_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.14.29 AM_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.14.29 AM_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.14.29 AM_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 12.14.29 AM_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.51.01_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.51.01_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.51.01_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.51.01_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 21.51.01_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (1)_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (1)_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (1)_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (1)_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (1)_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.30.14_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.30.14_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.30.14_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.30.14_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.30.14_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (3)_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (3)_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (3)_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (3)_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.46.47 PM (3)_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.09_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.09_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.09_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.09_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.14.09_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 2.35.49 PM_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 2.35.49 PM_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 2.35.49 PM_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 2.35.49 PM_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 2.35.49 PM_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.35.06_orig.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.35.06_slow.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.35.06_fast.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.35.06_pitch.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Ptt 2026-03-05 at 22.35.06_vol.npy,1
rep_features\train\Positives/Blocked\mfcc_WhatsApp Audio 2026-03-06 at 1.35.39 PM (3)_orig.npy,1
